form,sound,meaning,type,etymology
膏,gao1,"ointment; paste; CL:帖[tie3]",pictophonetic,"flesh"
膏,gao4,"to moisten; to grease; to apply (cream, ointment); to dip a brush in ink",pictophonetic,"flesh"
肠,chang2,"old variant of 腸|肠[chang2]",pictophonetic,"flesh"
膘,biao1,"fat of a stock animal",pictophonetic,"flesh"
肤,fu1,"skin",pictophonetic,"flesh"
膛,tang2,"(bound form) hollow space",ideographic,"A hall 堂 in one's chest ⺼; 堂 also provides the pronunciation"
膜,mo2,"membrane; film",pictophonetic,"flesh"
膝,xi1,"knee",pictophonetic,"flesh"
胶,jiao1,"to glue; glue; gum; rubber",ideographic,"Tendons that connect 交 muscles ⺼; 交 also provides the pronunciation"
膣,zhi4,"vagina",pictophonetic,"flesh"
膦,lin4,"phosphine",pictographic,"An organic compound ⺼ containing phosphorous 粦; 粦 also provides the pronunciation"
膨,peng2,"swollen",pictophonetic,"flesh"
腻,ni4,"greasy; soft; unctuous; intimate; tired of",pictophonetic,"flesh"
膪,chuai4,"used in 囊膪[nang1 chuai4]",pictophonetic,"meat"
膫,liao2,"name of a state during Han Dynasty",pictophonetic,"flesh"
膫,liao2,"male genitals; old variant of 膋[liao2]",pictophonetic,"flesh"
膲,jiao1,"see 三膲[san1 jiao1]",pictophonetic,"flesh"
膳,shan4,"meals",pictophonetic,"meat"
膺,ying1,"breast; receive",pictophonetic,"flesh"
膻,shan1,"rank odor (of sheep or goats)",pictophonetic,"meat"
胆,dan3,"gall bladder; courage; guts; gall; inner container (e.g. bladder of a football, inner container of a thermos)",pictophonetic,"flesh"
脍,kuai4,"chopped meat or fish",pictophonetic,"meat"
脓,nong2,"pus",pictophonetic,"flesh"
臀,tun2,"buttocks; hips; rump",pictophonetic,"flesh"
臁,lian2,"sides of the lower part of the leg",pictophonetic,"flesh"
臂,bi4,"arm",pictophonetic,"flesh"
臃,yong1,"see 臃腫|臃肿[yong1 zhong3]",pictophonetic,"flesh"
臆,yi4,"(bound form) chest; breast; (bound form) inner feelings; subjective",ideographic,"The part of the body ⺼ that feels 意; 意 also provides the pronunciation"
腊,la4,"old variant of 臘|腊[la4]",ideographic,"A sacrifice of meat ⺼ for the past year 昔"
脸,lian3,"face; CL:張|张[zhang1],個|个[ge4]",pictophonetic,"flesh"
臊,sao1,"to smell of urine (or sweat etc)",pictophonetic,"flesh"
臊,sao4,"shame; bashfulness; to shame; to humiliate",pictophonetic,"flesh"
臀,tun2,"old variant of 臀[tun2]",pictophonetic,"flesh"
臌,gu3,"dropsical; swollen",pictophonetic,"flesh"
脐,qi2,"(bound form) the navel; the umbilicus; (bound form) the belly flap of a crab; apron",pictophonetic,"flesh"
膑,bin4,"variant of 髕|髌[bin4]",pictophonetic,"flesh"
膘,biao1,"variant of 膘[biao1]",pictophonetic,"flesh"
腊,la4,"ancient practice of offering sacrifices to the gods in the 12th lunar month; the 12th lunar month; (bound form) (of meat, fish etc) cured in winter, esp. in the 12th lunar month",ideographic,"A sacrifice of meat ⺼ for the past year 昔"
胭,yan1,"variant of 胭[yan1]",pictophonetic,"flesh"
胪,lu2,"belly; skin; to state; to pass on information; to display",pictophonetic,"flesh"
裸,luo3,"variant of 裸[luo3]",pictophonetic,"clothes"
脏,zang4,"viscera; (anatomy) organ",pictophonetic,"flesh"
脔,luan2,"skinny; sliced meat",pictophonetic,"meat"
臜,za1,"see 腌臢|腌臜[a1 za1]",pictophonetic,"meat"
臣,chen2,"surname Chen",,
臣,chen2,"state official or subject in dynastic China; I, your servant (used in addressing the sovereign); Kangxi radical 131",,
卧,wo4,"to lie; to crouch",ideographic,"A person 卜 (altered form of 人) laying in bed 臣"
臧,zang1,"surname Zang",pictophonetic,"minister"
臧,zang1,"good; right",pictophonetic,"minister"
臧,zang4,"old variant of 藏[zang4]; old variant of 臟|脏[zang4]",pictophonetic,"minister"
临,lin2,"to face; to overlook; to arrive; to be (just) about to; just before",,
自,zi4,"(bound form) self; oneself; from; since; naturally; as a matter of course",pictographic,"A nose; in China, people refer to themselves by pointing to their noses"
臬,nie4,"guidepost; rule; standard; limit; target (old)",ideographic,"A notice 自 posted on a tree 木"
臭,chou4,"stench; smelly; to smell (bad); repulsive; loathsome; terrible; bad; severely; ruthlessly; dud (ammunition)",ideographic,"The smell 自 of a dirty dog 犬"
臭,xiu4,"sense of smell; smell bad",ideographic,"The smell 自 of a dirty dog 犬"
皋,gao1,"variant of 皋[gao1]",pictophonetic,
臲,nie4,"tottering; unsteady",pictophonetic,"precarious"
至,zhi4,"to arrive; most; to; until",ideographic,"A bird alighting on the ground 土"
致,zhi4,"(literary) to send; to transmit; to convey; (bound form) to cause; to lead to; consequently",pictophonetic,"rap"
台,tai2,"Taiwan (abbr.)",,
台,tai2,"platform; stage; terrace; stand; support; station; broadcasting station; classifier for vehicles or machines",,
臻,zhen1,"to arrive; to reach (esp. perfection); utmost; (used in commercials)",pictophonetic,"reach"
臼,jiu4,"mortar",pictographic,"A mortar used to grind out powders"
臽,xian4,"(archaic) pit; hole in the ground; (archaic) variant of 陷[xian4]",ideographic,"A person ⺈ falling in a pit 臼"
臾,yu2,"surname Yu",,
臾,yu2,"a moment; little while",,
臿,cha1,"to separate the grain from the husk",ideographic,"A mortar 臼 and pestle 千"
舀,yao3,"to ladle out; to scoop up",ideographic,"A hand 爫 fetching food from a container 臼"
舁,yu2,"to lift; to raise",ideographic,"Two hands 廾 lifting a mortar 臼"
舂,chong1,"to pound (grain); beat",pictophonetic,"mortar"
舄,xi4,"shoe; slipper",pictographic,"A magpie; compare 鳥"
舅,jiu4,"maternal uncle",pictophonetic,"man"
与,yu2,"variant of 歟|欤[yu2]",,
与,yu3,"and; to give; together with",,
与,yu4,"to take part in",,
兴,xing1,"surname Xing",,
兴,xing1,"to rise; to flourish; to become popular; to start; to encourage; to get up; (often used in the negative) to permit or allow (dialect); maybe (dialect)",,
兴,xing4,"feeling or desire to do sth; interest in sth; excitement",,
举,ju3,"to lift; to hold up; to cite; to enumerate; to act; to raise; to choose; to elect; act; move; deed",pictophonetic,"hand"
旧,jiu4,"old; opposite: new 新; former; worn (with age)",ideographic,"Older than 丨 the sun 日"
舋,xin4,"variant of 釁|衅; quarrel; dispute; a blood sacrifice (arch.)",ideographic,"A sacrifice made on an altar 且"
舌,ji1,"used in 喇舌[la3 ji1] to transcribe the Taiwanese word for ""tongue""",pictographic,"A tongue 千 sticking out of a mouth 口"
舌,she2,"tongue",pictographic,"A tongue 千 sticking out of a mouth 口"
舍,she4,"surname She",pictophonetic,"the shape of a roof"
舍,she3,"old variant of 捨|舍[she3]",pictophonetic,"the shape of a roof"
舍,she4,"residence",pictophonetic,"the shape of a roof"
舐,shi4,"to lick; to lap (up)",pictophonetic,"tongue"
舒,shu1,"surname Shu",pictophonetic,"home"
舒,shu1,"to stretch; to unfold; to relax; leisurely",pictophonetic,"home"
舔,tian3,"to lick; to lap",pictophonetic,"tongue"
铺,pu4,"variant of 鋪|铺[pu4]; store",pictophonetic,"money"
馆,guan3,"variant of 館|馆[guan3]",ideographic,"A public 官 building where food 饣 is served; 官 also provides the pronunciation"
舛,chuan3,"mistaken; erroneous; contradictory",,
舜,shun4,"Shun (c. 23rd century BC), mythical sage and leader",pictophonetic,"claw"
舞,wu3,"to dance; to wield; to brandish",ideographic,"A hand 舛 holding a fan"
舟,zhou1,"boat",pictographic,"A boat"
舡,gang1,"boat; ship",pictophonetic,"boat"
舢,shan1,"sampan",pictophonetic,"boat"
舨,ban3,"sampan",pictophonetic,"boat"
船,chuan2,"variant of 船[chuan2]",pictophonetic,"ship"
航,hang2,"boat; ship; craft; to navigate; to sail; to fly",pictophonetic,"ship"
舫,fang3,"2 boats lashed together; large boat",pictophonetic,"boat"
般,ban1,"sort; kind; class; way; manner",ideographic,"Using a tool 殳 to sort items on a tray 舟"
般,bo1,"used in 般若[bo1re3]",ideographic,"Using a tool 殳 to sort items on a tray 舟"
般,pan2,"see 般樂|般乐[pan2 le4]",ideographic,"Using a tool 殳 to sort items on a tray 舟"
舭,bi3,"bilge",pictophonetic,"boat"
舲,ling2,"small boat with windows",pictophonetic,"boat"
舳,zhu2,"poopdeck; stern of boat",pictophonetic,"ship"
舴,ze2,"small boat",pictophonetic,"boat"
舵,duo4,"helm; rudder",pictophonetic,"boat"
舶,bo2,"ship",pictophonetic,"ship"
舷,xian2,"side of a ship or an aircraft",pictophonetic,"ship"
舸,ge3,"barge",pictophonetic,"boat"
船,chuan2,"boat; vessel; ship; CL:條|条[tiao2],艘[sou1],隻|只[zhi1]",pictophonetic,"ship"
舾,xi1,"used in 舾裝|舾装[xi1 zhuang1]",pictophonetic,"ship"
艄,shao1,"stern of boat",pictophonetic,"ship"
艅,yu2,"used in 艅艎[yu2 huang2]",ideographic,"An extra 余 boat 舟; 余 also provides the pronunciation"
艇,ting3,"vessel; small ship",pictophonetic,"boat"
艉,wei3,"aft",ideographic,"The back 尾 of a ship 舟; 尾 also provides the pronunciation"
艋,meng3,"small boat",pictophonetic,"boat"
艎,huang2,"fast ship; see 艅艎, large warship",pictophonetic,"boat"
艏,shou3,"bow of a ship",ideographic,"The head 首 of a ship 舟; 首 also provides the pronunciation"
艘,sou1,"classifier for ships; Taiwan pr. [sao1]",pictophonetic,"ship"
舱,cang1,"cabin; the hold of a ship or airplane",ideographic,"A ship's 舟 cabin 仓; 仓 also provides the pronunciation"
艚,cao2,"seagoing junk",pictophonetic,"ship"
艟,chong1,"see 艨艟, ancient leatherclad warship",pictophonetic,"ship"
樯,qiang2,"variant of 檣|樯[qiang2]",pictophonetic,"wood"
橹,lu3,"variant of 櫓|橹[lu3]",pictophonetic,"wood"
舣,yi3,"to moor a boat to the bank",pictophonetic,"boat"
舰,jian4,"warship",pictophonetic,"ship"
艨,meng2,"ancient warship; see 艨艟, ancient leatherclad warship",pictophonetic,"boat"
橹,lu3,"variant of 櫓|橹[lu3]",pictophonetic,"wood"
舻,lu2,"bow of ship",pictophonetic,"ship"
艮,gen3,"blunt; tough; chewy",,
艮,gen4,"one of the Eight Trigrams 八卦[ba1 gua4], symbolizing mountain; ☶; ancient Chinese compass point: 45° (northeast)",,
良,liang2,"good; very; very much",,
艰,jian1,"difficult; hard; hardship",pictophonetic,"tough"
色,se4,"color; CL:種|种[zhong3]; look; appearance; sex",ideographic,"What a person ⺈ desires 巴"
色,shai3,"(coll.) color; used in 色子[shai3 zi5]",ideographic,"What a person ⺈ desires 巴"
艴,fu2,"angry",pictophonetic,"color"
艳,yan4,"variant of 艷|艳[yan4]",ideographic,"Lush 丰 and sexy 色"
艳,yan4,"colorful; splendid; gaudy; amorous; romantic; to envy",ideographic,"Lush 丰 and sexy 色"
草,cao3,"variant of 草[cao3]",pictophonetic,"grass"
艹,cao3,"grass radical 草字頭兒|草字头儿[cao3 zi4 tou2 r5]",pictographic,"Simplified form of 艸; grass sprouting"
艻,le4,"used in 蘿艻|萝艻[luo2 le4]",pictophonetic,"herb"
艽,jiao1,"see 秦艽[qin2 jiao1]",pictophonetic,"plant"
艾,ai4,"surname Ai",pictophonetic,"grass"
艾,ai4,"Chinese mugwort or wormwood; moxa; to stop or cut short; phonetic ""ai"" or ""i""; abbr. for 艾滋病[ai4 zi1 bing4], AIDS",pictophonetic,"grass"
艾,yi4,"variant of 刈[yi4]; variant of 乂[yi4]",pictophonetic,"grass"
艿,nai3,"see 芋艿[yu4 nai3]",pictophonetic,"plant"
芄,wan2,"Metaplexis stauntoni",pictophonetic,"plant"
芊,qian1,"green; luxuriant growth",ideographic,"A thousand 千 plants 艹; 千 also provides the pronunciation"
芋,yu4,"taro; Colocasia antiquorum; Colocasia esculenta",pictophonetic,"plant"
芍,que4,"see 芍陂[Que4 pi2]",pictophonetic,"plant"
芍,shao2,"Chinese peony; Paeonia albiflora or lactiflora",pictophonetic,"plant"
芎,xiong1,"see 川芎[chuan1 xiong1]; Taiwan pr. [qiong1]",pictophonetic,"herb"
芏,du4,"used in 茳芏[jiang1 du4]; Taiwan pr. [tu3]",pictophonetic,"grass"
芑,qi3,"Panicum miliaceum",pictophonetic,"grass"
芒,mang2,"awn (of cereals); arista (of grain); tip (of a blade); Miscanthus sinensis (type of grass); variant of 邙, Mt Mang at Luoyang in Henan",pictophonetic,"grass"
芘,pi2,"Malva sylvestris",pictophonetic,"plant"
芙,fu2,"used in 芙蓉[fu2 rong2], lotus",pictophonetic,"flower"
芝,zhi1,"Zoysia pungens",pictophonetic,"plant"
芟,shan1,"to cut down; to mow; to eliminate; scythe",ideographic,"To cut grass 艹 with a scythe 殳; 殳 also provides the pronunciation"
芡,qian4,"Gorgon plant; fox nut (Gorgon euryale or Euryale ferox); makhana (Hindi)",pictophonetic,"plant"
芤,kou1,"hollow; scallion stalk",pictophonetic,"grass"
芥,gai4,"see 芥藍|芥蓝[gai4 lan2]",pictophonetic,"plant"
芥,jie4,"mustard",pictophonetic,"plant"
芨,ji2,"Bletilla hyacinthina (mucilaginous); Acronym for the Chinese Elder tree 菫草",pictophonetic,"plant"
芩,qin2,"Phragmites japonica",pictophonetic,"plant"
芪,qi2,"see 黃芪|黄芪[huang2 qi2]",pictophonetic,"plant"
芫,yan2,"used in 芫荽[yan2 sui5]",pictophonetic,"plant"
芫,yuan2,"lilac daphne (Daphne genkwa), used in Chinese herbal medicine",pictophonetic,"plant"
芬,fen1,"perfume; fragrance",pictophonetic,"flower"
芭,ba1,"an unidentified fragrant plant mentioned in the Songs of Chu 楚辭|楚辞[Chu3ci2]; used in 芭蕉[ba1jiao1]; used in transliteration",pictophonetic,"plant"
芮,rui4,"surname Rui",pictophonetic,"grass"
芮,rui4,"small",pictophonetic,"grass"
芯,xin1,"(bound form) the pith of the rush plant (used as a lampwick)",ideographic,"The heart 心 of a plant 艹; 心 also provides the pronunciation"
芯,xin4,"used in 芯子[xin4 zi5]; Taiwan pr. [xin1]",ideographic,"The heart 心 of a plant 艹; 心 also provides the pronunciation"
芰,ji4,"(archaic) water caltrop (Trapa natans)",pictophonetic,"plant"
花,hua1,"surname Hua",ideographic,"A flower 艹 in bloom 化; 化 also provides the pronunciation"
花,hua1,"flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); (coll.) lecherous; lustful",ideographic,"A flower 艹 in bloom 化; 化 also provides the pronunciation"
花,hua1,"old variant of 花[hua1]",ideographic,"A flower 艹 in bloom 化; 化 also provides the pronunciation"
芳,fang1,"fragrant",pictophonetic,"flower"
芴,hu1,"(old) vaguely; suddenly",pictophonetic,"plant"
芴,wu4,"fluorene C13H10; (old) name of an edible wild plant",pictophonetic,"plant"
芷,zhi3,"angelica (type of iris); plant root used in TCM",pictophonetic,"herb"
芸,yi4,"Japanese variant of 藝|艺[yi4]",pictophonetic,"plant"
芸,yun2,"common rue (Ruta graveolens); (used in old compounds relating to books because in former times rue was used to protect books from insect damage)",pictophonetic,"plant"
芹,qin2,"Chinese celery",pictophonetic,"plant"
刍,chu2,"to mow or cut grass; hay; straw; fodder",pictophonetic,"knife"
芽,ya2,"bud; sprout",pictophonetic,"plant"
芾,fei4,"see 蔽芾[bi4 fei4]",pictophonetic,"plant"
芾,fu2,"luxuriance of vegetation",pictophonetic,"plant"
苄,bian4,"benzyl (chemistry)",pictophonetic,
苊,e4,"acenaphthene (C12H10)",pictophonetic,
苑,yuan4,"surname Yuan",pictophonetic,"grass"
苑,yuan4,"(literary) enclosed area for growing trees, keeping animals etc; imperial garden; park; (literary) center (of arts, literature etc)",pictophonetic,"grass"
苒,ran3,"luxuriant growth; passing (of time)",pictophonetic,"grass"
苓,ling2,"fungus; tuber",pictophonetic,"plant"
苔,tai1,"used in 舌苔[she2 tai1]",pictophonetic,"plant"
苔,tai2,"moss; lichen; liverwort",pictophonetic,"plant"
苕,shao2,"see 紅苕|红苕[hong2 shao2]",pictophonetic,"plant"
苕,tiao2,"reed grass; Chinese trumpet vine (Campsis grandiflora) (old)",pictophonetic,"plant"
苗,miao2,"Hmong or Miao ethnic group of southwest China; surname Miao",ideographic,"Grass 艹 growing in a field 田"
苗,miao2,"sprout",ideographic,"Grass 艹 growing in a field 田"
苘,qing3,"Indian mallow (Abutilon theophrasti); Indian hemp (cannabis)",pictophonetic,"plant"
苛,ke1,"severe; exacting",pictophonetic,"grass"
苜,mu4,"clover",pictophonetic,"grass"
苞,bao1,"bud; flower calyx; luxuriant; profuse",ideographic,"A flower 艹 unfolding 包; 包 also provides the pronunciation"
苟,gou3,"surname Gou",pictophonetic,"wild grass"
苟,gou3,"(literary) if indeed; (bound form) careless; negligent; (bound form) temporarily",pictophonetic,"wild grass"
苠,min2,"multitude; skin of bamboo",pictophonetic,"plant"
苡,yi3,"common plantain (Plantago major)",pictophonetic,"grass"
苣,ju4,"used in 萵苣|莴苣[wo1ju4]",pictophonetic,"plant"
苣,qu3,"used in 苣蕒菜|苣荬菜[qu3mai5cai4]; Taiwan pr. [ju4]",pictophonetic,"plant"
苤,pie3,"used in 苤藍|苤蓝[pie3 lan5]",pictophonetic,"plant"
若,re3,"used in 般若[bo1re3]; used in 蘭若|兰若[lan2re3]",,
若,ruo4,"to seem; like; as; if",,
苦,ku3,"bitter; hardship; pain; to suffer; to bring suffering to; painstakingly",pictophonetic,"grass"
苎,zhu4,"Boehmeria nivea; Chinese grass",pictophonetic,"grass"
苫,shan1,"straw mat; thatch",pictophonetic,"grass"
苯,ben3,"benzene; benzol (chemistry)",pictophonetic,
英,ying1,"United Kingdom; British; England; English; abbr. for 英國|英国[Ying1 guo2]",pictophonetic,"flower"
英,ying1,"hero; outstanding; excellent; (literary) flower; blossom",pictophonetic,"flower"
苲,zha3,"see 苲草[zha3 cao3]",pictophonetic,"plant"
苴,ju1,"surname Ju",pictophonetic,"grass"
苴,ju1,"(hemp); sack cloth",pictophonetic,"grass"
苷,gan1,"licorice; glycoside",ideographic,"A sweet 甘 plant 艹; 甘 also provides the pronunciation"
苹,ping2,"(artemisia); duckweed",pictophonetic,"plant"
苻,fu2,"Angelica anomala",pictophonetic,"herb"
茀,fu2,"luxuriant growth",pictophonetic,"weed"
茁,zhuo2,"to display vigorous, new growth; to sprout",ideographic,"Sprouting 出 grass 艹; 出 also provides the pronunciation"
茂,mao4,"luxuriant; (chemistry) cyclopentadiene",pictophonetic,"grass"
范,fan4,"surname Fan",pictophonetic,"plant"
茄,jia1,"phonetic character used in loanwords for the sound ""jia"", although 夾|夹[jia2] is more common",pictophonetic,"plant"
茄,qie2,"eggplant",pictophonetic,"plant"
茅,mao2,"surname Mao",pictophonetic,"grass"
茅,mao2,"reeds; rushes",pictophonetic,"grass"
茆,mao2,"variant of 茅[mao2]; thatch",pictophonetic,"grass"
茆,mao3,"type of water plant; (dialect) loess hills",pictophonetic,"grass"
茇,ba2,"betel",pictophonetic,"grass"
茈,ci2,"used in 鳧茈|凫茈[fu2ci2]",pictophonetic,"plant"
茈,zi3,"Common Gromwell or European stoneseed (Lithospermum officinale)",pictophonetic,"plant"
茉,mo4,"used in 茉莉[mo4li4]",pictophonetic,"herb"
茌,chi2,"name of a district in Shandong",pictophonetic,"plant"
茗,ming2,"Thea sinensis; young leaves of tea",pictophonetic,"plant"
荔,li4,"variant of 荔[li4]",pictophonetic,"plant"
茚,yin4,"indene (chemistry)",pictophonetic,
茛,gen4,"ranunculus",pictophonetic,"plant"
茜,qian4,"(bound form) Indian madder; munjeet (Rubia cordifolia); (bound form) madder red; dark red; alizarin crimson",pictophonetic,"plant"
茜,xi1,"used in the transliteration of people's names",pictophonetic,"plant"
茨,ci2,"Caltrop or puncture vine (Tribulus terrestris); to thatch (a roof)",pictophonetic,"grass"
茫,mang2,"vast, with no clear boundary; fig. hazy; indistinct; unclear; confused",pictophonetic,"grass"
茬,cha2,"stubble (crop residue); stubble (hair growth); classifier for a batch of sth produced during a particular cycle: a crop; sth just said or mentioned",pictophonetic,"plant"
茭,jiao1,"Zizania aquatica",pictophonetic,"grass"
茯,fu2,"used in 茯苓[fu2 ling2]",pictophonetic,"herb"
茱,zhu1,"cornelian cherry",pictophonetic,"plant"
兹,zi1,"now; here; this; time; year",,
茳,jiang1,"used in 茳芏[jiang1 du4]",pictophonetic,"grass"
茴,hui2,"(bound form) fennel",pictophonetic,"herb"
茵,yin1,"mattress",pictophonetic,"grass"
茶,cha2,"tea; tea plant; CL:杯[bei1],壺|壶[hu2]",pictophonetic,"plant"
茸,rong2,"(bound form) (of newly sprouted grass) soft and fine; downy",pictophonetic,"grass"
茹,ru2,"surname Ru",pictophonetic,"plant"
茹,ru2,"to eat; (extended meaning) to endure; putrid smell; vegetables; roots (inextricably attached to the plant)",pictophonetic,"plant"
茼,tong2,"Chrysanthemum coronarium",pictophonetic,"plant"
荀,xun2,"surname Xun",pictophonetic,"herb"
荀,xun2,"herb (old)",pictophonetic,"herb"
荃,quan2,"(fragrant plant)",pictophonetic,"herb"
荅,da1,"variant of 答[da1]",pictophonetic,"plant"
荅,da2,"variant of 答[da2]",pictophonetic,"plant"
荇,xing4,"yellow floating heart (Nymphoides peltatum)",pictophonetic,"plant"
草,cao3,"grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1]",pictophonetic,"grass"
草,cao4,"variant of 肏[cao4]",pictophonetic,"grass"
荆,jing1,"chaste tree or berry (Vitex agnus-castus); alternative name for the Zhou Dynasty state of Chu 楚國|楚国[Chu3 guo2]",ideographic,"A plant 艹 armed with thorns 刂"
荞,qiao2,"common mallow (Malva sinensis); variant of 蕎|荞[qiao2]",ideographic,"A tall 乔 grass 艹; 乔 also provides the pronunciation"
荏,ren3,"beefsteak plant (Perilla frutescens); soft; weak",pictophonetic,"herb"
荑,ti2,"(grass)",pictophonetic,"weed"
荑,yi2,"to weed",pictophonetic,"weed"
荒,huang1,"desolate; shortage; scarce; out of practice; absurd; uncultivated; to neglect",pictophonetic,"grass"
荔,li4,"litchi",pictophonetic,"plant"
豆,dou4,"legume; pulse; bean; pea (variant of 豆[dou4])",pictographic,"An old serving dish 口 on a stand with a lid 一"
荷,he2,"Holland; the Netherlands; abbr. for 荷蘭|荷兰[He2 lan2]",pictophonetic,"flower"
荷,he2,"lotus",pictophonetic,"flower"
荷,he4,"to carry on one's shoulder or back; burden; responsibility",pictophonetic,"flower"
荸,bi2,"used in 荸薺|荸荠[bi2qi2]",pictophonetic,"plant"
荻,di2,"Anaphalis yedoensis (pearly everlasting reed); used in Japanese names with phonetic value Ogi",pictophonetic,"grass"
荼,tu2,"thistle; common sowthistle (Sonchus oleraceus); bitter (taste); cruel; flowering grass in profusion",pictophonetic,"plant"
荽,sui1,"coriander",pictophonetic,"herb"
莆,pu2,"place name",pictophonetic,"plant"
莉,li4,"used in 茉莉[mo4li4]; used in the transliteration of female names",pictophonetic,"flower"
庄,zhuang1,"surname Zhuang",pictophonetic,"house"
庄,zhuang1,"farmstead; village; manor; place of business; banker (in a gambling game); grave or solemn; holdings of a landlord (in imperial China)",pictophonetic,"house"
莎,sha1,"katydid (family Tettigoniidae); phonetic ""sha"" used in transliteration",pictophonetic,"grass"
莎,suo1,"used in 莎草[suo1cao3]",pictophonetic,"grass"
莒,ju3,"Zhou Dynasty vassal state in modern day Shandong Province",pictophonetic,"plant"
莒,ju3,"alternative name for taro (old)",pictophonetic,"plant"
莓,mei2,"berry; strawberry",pictophonetic,"grass"
茎,jing1,"stalk; stem; CL:條|条[tiao2]",pictophonetic,"grass"
莘,shen1,"surname Shen",pictophonetic,"plant"
莘,shen1,"long; numerous",pictophonetic,"plant"
莘,xin1,"Asarum; Wild ginger; also 細辛|细辛[xi4 xin1]",pictophonetic,"plant"
莛,ting2,"stalk of grass",pictophonetic,"grass"
莜,you2,"see 莜麥|莜麦[you2 mai4]",pictophonetic,"plant"
莞,guan1,"Skimmia japonica",pictophonetic,"plant"
莞,guan3,"(district)",pictophonetic,"plant"
莞,wan3,"smile",pictophonetic,"plant"
莠,you3,"Setaria viridis; vicious",pictophonetic,"weed"
荚,jia2,"pod (botany)",pictophonetic,"plant"
苋,xian4,"amaranth (genus Amaranthus); Joseph's coat (Amaranthus tricolor); Chinese spinach (Amaranth mangostanus)",pictophonetic,"plant"
莨,lang4,"Scopalia japonica maxin",pictophonetic,"plant"
莩,fu2,"membrane lining inside a cylindrical stem; culm",pictophonetic,"grass"
莩,piao3,"used for 殍 piǎo, to die of starvation",pictophonetic,"grass"
莪,e2,"zedoary (Curcuma zedoaria), plant rhizome similar to turmeric",pictophonetic,"grass"
莫,mo4,"surname Mo",,
莫,mo4,"do not; there is none who",,
莰,kan3,"camphane C10H18",pictophonetic,
莽,mang3,"(bound form) dense growth of grass; (literary) vast; boundless; (bound form) boorish; reckless",ideographic,"A dog 犬 surrounded by weeds 艹, 廾"
莿,ci4,"Urtica thunbergiana",ideographic,"A plant 艹 that pricks 刺; 刺 also provides the pronunciation"
菀,wan3,"bound form used in 紫菀[zi3 wan3]",pictophonetic,"grass"
菀,yu4,"luxuriance of growth",pictophonetic,"grass"
菁,jing1,"leek flower; lush; luxuriant",pictophonetic,"plant"
菅,jian1,"(grass); Themeda forsbali",pictophonetic,"grass"
菇,gu1,"mushroom",pictophonetic,"plant"
菊,ju2,"(bound form) chrysanthemum",pictophonetic,"flower"
菌,jun1,"germ; bacteria; fungus; mold; Taiwan pr. [jun4]",pictophonetic,"plant"
菌,jun4,"mushroom",pictophonetic,"plant"
菏,he2,"He river in Shandong",ideographic,"A green 艹 river 河; 河 also provides the pronunciation"
菐,pu2,"thicket; tedious",,
灾,zai1,"old variant of 災|灾[zai1]",ideographic,"A house 宀 on fire 火"
果,guo3,"variant of 果[guo3]; fruit",ideographic,"Fruit 田 growing on a tree 木"
菔,fu2,"turnip",pictophonetic,"plant"
菖,chang1,"see 菖蒲[chang1 pu2]",pictophonetic,"grass"
菘,song1,"(cabbage); Brassica chinensis",pictophonetic,"plant"
菜,cai4,"vegetable; greens (CL:棵[ke1]); dish (of food) (CL:樣|样[yang4],道[dao4],盤|盘[pan2]); (of one's skills etc) weak; poor; (coll.) (one's) type",pictophonetic,"plant"
菝,ba2,"smilax china",pictophonetic,"plant"
菟,tu4,"dodder (Cuscuta sinensis, a parasitic vine with seeds having medicinal uses); also called 菟絲子|菟丝子",pictophonetic,"plant"
菠,bo1,"spinach",pictophonetic,"plant"
菡,han4,"lotus blossom",pictophonetic,"plant"
菥,xi1,"see 菥蓂[xi1 mi4]",pictophonetic,"plant"
菩,pu2,"Bodhisattva",pictophonetic,"herb"
菪,dang4,"henbane",pictophonetic,"plant"
华,hua2,"abbr. for China",pictophonetic,"ten"
华,hua4,"Mount Hua 華山|华山[Hua4 Shan1] in Shaanxi; surname Hua",pictophonetic,"ten"
华,hua1,"old variant of 花[hua1]; flower",pictophonetic,"ten"
华,hua2,"magnificent; splendid; flowery",pictophonetic,"ten"
菰,gu1,"Manchurian wild rice (Zizania latifolia), now rare in the wild, formerly harvested for its grain, now mainly cultivated for its edible stem known as 茭白筍|茭白笋[jiao1 bai2 sun3], which is swollen by a smut fungus; (variant of 菇[gu1]) mushroom",pictophonetic,"grass"
菱,ling2,"water caltrop (Trapa species)",pictophonetic,"grass"
菲,fei1,"abbr. for the Philippines 菲律賓|菲律宾[Fei1 lu:4 bin1]",pictophonetic,"grass"
菲,fei1,"luxuriant (plant growth); rich with fragrance; phenanthrene C14H10",pictophonetic,"grass"
菲,fei3,"poor; humble; unworthy; radish (old)",pictophonetic,"grass"
庵,an1,"variant of 庵[an1]",ideographic,"A building 广 where people remain 奄; 奄 also provides the pronunciation"
烟,yan1,"tobacco (variant of 煙|烟[yan1])",pictophonetic,"fire"
菸,yu1,"to wither; dried leaves; faded; withered",pictophonetic,"plant"
