form,sound,meaning,type,etymology
了,liao3,"to finish; to achieve; variant of 瞭|了[liao3]; to understand clearly",pictographic,"A child swaddled in blanklets; compare 子"
予,yu2,"(archaic) I; me",,
予,yu3,"(literary) to give",,
事,shi4,"matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1],回[hui2]",,
二,er4,"two; 2; (Beijing dialect) stupid",ideographic,"Two  parallel lines; compare 一 (one) and 三 (three)"
亍,chu4,"to step with the right foot (used in 彳亍[chi4chu4])",,
于,yu2,"surname Yu",,
于,yu2,"to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]",,
云,yun2,"(classical) to say",pictographic,"A cloud"
互,hu4,"mutual",ideographic,"Two hooks hooking eachother"
亓,qi2,"surname Qi",,
亓,qi2,"his; her; its; their",,
五,wu3,"five; 5",ideographic,"Five elements (the cross with the extra stroke) between heaven 一 and earth 一 "
井,jing3,"Jing, one of the 28 constellations of Chinese astronomy; surname Jing",pictographic,"A mine or well"
井,jing3,"a well; CL:口[kou3]; neat; orderly",pictographic,"A mine or well"
亘,gen4,"extending all the way across; running all the way through",ideographic,"Stretching from heaven 一 to earth 一 "
些,xie1,"classifier indicating a small amount or small number greater than 1: some, a few, several",pictophonetic,"two"
斋,zhai1,"old variant of 齋|斋[zhai1]",pictophonetic,"culture"
亚,ya4,"Asia; Asian; Taiwan pr. [Ya3]",pictographic,"Picture of a cross-shaped house or temple"
亚,ya4,"second; next to; inferior; sub-; Taiwan pr. [ya3]",pictographic,"Picture of a cross-shaped house or temple"
亟,ji2,"urgent",,
亟,qi4,"repeatedly; frequently",,
亠,tou2,"""lid"" radical in Chinese characters (Kangxi radical 8)",,
亡,wang2,"to die; to lose; to be gone; to flee; deceased",ideographic,"A man 人 in a coffin; see 亾"
亢,kang4,"surname Kang; Kang, one of the 28 constellations",,
亢,kang4,"high; overbearing; excessive",,
交,jiao1,"to hand over; to deliver; to pay (money); to turn over; to make friends; (of lines) to intersect; variant of 跤[jiao1]",ideographic,"A person with crossed (intersecting) legs"
亥,hai4,"12th earthly branch: 9-11 p.m., 10th solar month (7th November-6th December), year of the Boar; ancient Chinese compass point: 330°",,
亦,yi4,"also",ideographic,"A man standing with arrows pointing to his armpits"
亨,heng1,"prosperous; henry (unit of inductance)",,
享,xiang3,"to enjoy; to benefit; to have the use of",ideographic,"Children 子 living and eating 口 in the house 亠"
京,jing1,"surname Jing; Jing ethnic minority; abbr. for Beijing 北京[Bei3jing1]",pictographic,"A capital building on a hill"
京,jing1,"capital city of a country; big; algebraic term for a large number (old); artificial mound (old)",pictographic,"A capital building on a hill"
亭,ting2,"pavilion; booth; kiosk; erect",pictographic,"亠, 口, and 冖 form a picture of a pavilion; 丁 provides the pronunciation"
亮,liang4,"bright; light; to shine; to flash; loud and clear; to show (one's passport etc); to make public (one's views etc)",pictographic,"A lit oil lamp"
享,xiang3,"old variant of 享[xiang3]",ideographic,"Children 子 living and eating 口 in the house 亠"
