hanzi,pinyin
夭,yao1
殂,cu2
殃,yang1
殄,tian3
殆,dai4
殉,xun4
殊,shu1
殍,piao3
殖,zhi2
殗,ye4
残,can2
殛,ji2
殒,yun3
殇,shang1
殪,yi4
殚,dan1
僵,jiang1
殓,lian4
殡,bin4
歼,jian1
殳,shu1
殳,shu1
段,duan4
段,duan4
殷,yin1
殷,yan1
殷,yin1
殷,yin3
殸,qing4
殹,yi4
杀,sha1
壳,qiao4
壳,ke2
壳,qiao4
淆,xiao2
肴,yao2
殿,dian4
毁,hui3
毅,yi4
殴,ou1
殴,ou1
毋,wu2
毋,wu2
毌,guan4
母,mu3
每,mei3
毒,du2
毓,yu4
比,bi3
比,bi1
比,bi3
毖,bi4
毗,pi2
毗,pi2
毚,chan2
毛,mao2
毛,mao2
毪,mu2
毫,hao2
毯,tan3
毳,cui4
毹,shu1
毽,jian4
毵,san1
牦,mao2
氅,chang3
氆,pu3
毡,zhan1
毡,zhan1
氇,lu3
氍,qu2
氏,shi4
氏,zhi1
氐,di1
氐,di3
民,min2
民,min2
氓,mang2
氓,meng2
氕,pie1
氖,nai3
氘,dao1
氙,xian1
氚,chuan1
氛,fen1
氜,ri4
氜,yang2
氟,fu2
氡,dong1
气,qi4
氤,yin1
氦,hai4
氧,yang3
氨,an1
氪,ke4
氢,qing1
氩,ya4
氮,dan4
氯,lv4
氰,qing2
氲,yun1
水,shui3
水,shui3
氵,shui3
冰,bing1
永,yong3
氹,dang4
氺,shui3
氽,tun3
泛,fan4
氿,gui3
汀,ting1
汁,zhi1
求,qiu2
汆,cuan1
汊,cha4
泛,fan4
汐,xi1
汔,qi4
汕,shan4
汗,han2
汗,han4
污,wu1
汛,xun4
汜,si4
汝,ru3
汞,gong3
江,jiang1
江,jiang1
池,chi2
池,chi2
污,wu1
汧,qian1
汧,qian1
汨,mi4
汩,gu3
汪,wang1
汪,wang1
汰,tai4
汲,ji2
汲,ji2
汴,bian4
汶,wen4
决,jue2
汽,qi4
汾,fen2
沁,qin4
沂,yi2
沃,wo4
沅,yuan2
沆,hang4
沇,yan3
沇,yan3
沈,shen3
沈,chen2
沉,chen2
沌,dun4
沏,qi1
沐,mu4
没,mei2
没,mo4
沓,ta4
沓,da2
沓,ta4
沔,mian3
冲,chong1
沙,sha1
沙,sha1
沛,pei4
沫,mo4
沭,shu4
沮,ju3
沱,tuo2
河,he2
沸,fei4
油,you2
治,zhi4
沼,zhao3
沽,gu1
沽,gu1
沾,zhan1
沿,yan2
况,kuang4
泄,xie4
泅,qiu2
泆,yi4
泉,quan2
泊,bo2
泊,po1
泌,bi4
泌,mi4
泐,le4
泓,hong2
泔,gan1
法,fa3
法,fa3
泖,mao3
泗,si4
泗,si4
泙,ping2
泛,fan4
泠,ling2
泠,ling2
泡,pao1
泡,pao4
波,bo1
波,bo1
泣,qi4
泥,ni2
泥,ni4
注,zhu4
泫,xuan4
泮,pan4
泯,min3
泰,tai4
泰,tai4
泱,yang1
泳,yong3
泵,beng4
洄,hui2
洇,yan1
洇,yin1
洋,yang2
洌,lie4
洎,ji4
洗,xi3
洙,zhu1
洙,zhu1
洚,jiang4
洛,luo4
洛,luo4
洞,dong4
洣,mi3
津,jin1
津,jin1
洧,wei3
洨,xiao2
洨,xiao2
泄,xie4
洪,hong2
洪,hong2
洫,xu4
洮,tao2
洱,er3
洲,zhou1
洳,ru4
洵,xun2
汹,xiong1
洹,huan2
活,huo2
洼,wa1
洽,qia4
派,pa1
派,pai4
流,liu2
浙,zhe4
浚,jun4
浜,bang1
浜,bin1
浞,zhuo2
浠,xi1
浣,huan4
浦,pu3
浦,pu3
浩,hao4
浪,lang4
浮,fu2
浯,wu2
浴,yu4
海,hai3
海,hai3
浸,jin4
浃,jia1
浼,mei3
浽,sui1
涂,tu2
涂,tu2
涅,nie4
泾,jing1
消,xiao1
涉,she4
涌,chong1
涌,yong3
涎,xian2
涑,su4
涓,juan1
涓,juan1
涔,cen2
涕,ti4
莅,li4
莅,li4
涪,fu2
涫,guan4
涮,shuan4
涯,ya2
液,ye4
涵,han2
涸,he2
凉,liang2
凉,liang2
凉,liang4
涿,zhuo1
淀,dian4
淄,zi1
淅,xi1
淆,xiao2
淇,qi2
淋,lin2
淋,lin4
淌,tang3
淑,shu1
凄,qi1
淖,nao4
淖,nao4
淘,tao2
淙,cong2
泪,lei4
浙,zhe4
淝,fei2
淞,song1
淞,song1
淠,pi4
淡,dan4
淤,yu1
渌,lu4
淦,gan4
净,jing4
淩,ling2
沦,lun2
淫,yin2
淬,cui4
淮,huai2
淯,yu4
深,shen1
淳,chun2
渊,yuan1
涞,lai2
混,hun2
混,hun4
淹,yan1
浅,jian1
浅,qian3
添,tian1
淼,miao3
清,qing1
清,qing1
渖,shen3
涣,huan4
渚,zhu3
减,jian3
渝,yu2
渠,qu2
渠,ju4
渠,qu2
渡,du4
渣,zha1
渤,bo2
渥,wo4
涡,guo1
涡,wo1
渫,xie4
渫,xie4
测,ce4
渭,wei4
港,gang3
港,gang3
渲,xuan4
渴,ke3
游,you2
游,you2
渺,miao3
浑,hun2
湃,pai4
湄,mei2
湉,tian2
凑,cou4
湍,tuan1
湎,mian3
湓,pen2
湔,jian1
湖,hu2
湘,xiang1
湛,zhan4
湛,zhan4
浈,zhen1
湟,huang2
湣,min3
涌,yong3
湫,jiao3
湮,yan1
湮,yin1
汤,tang1
汤,shang1
汤,tang1
湴,ban4
湴,pan2
淳,chun2
涅,nie4
沩,gui1
溉,gai4
溏,tang2
源,yuan2
准,zhun3
溘,ke4
溜,liu1
溜,liu4
沟,gou1
溟,ming2
溢,yi4
溥,pu3
溥,pu3
溦,wei1
溧,li4
溪,xi1
温,wen1
温,wen1
浉,shi1
溯,su4
溱,zhen1
溲,sou1
溴,xiu4
溶,rong2
溷,hun4
溺,ni4
溺,niao4
溻,ta1
湿,shi1
溽,ru4
滁,chu2
滂,pang1
沧,cang1
灭,mie4
滇,dian1
滊,xi4
滊,xie1
滋,zi1
涤,di2
荥,xing2
滏,fu3
滑,hua2
滑,hua2
滓,zi3
滔,tao1
滕,teng2
汇,hui4
淫,yin2
沪,hu4
滞,zhi4
渗,shen4
滴,di1
卤,lu3
浒,hu3
滹,hu1
浐,chan3
滚,gun3
满,man3
满,man3
渔,yu2
漂,piao1
漂,piao3
漂,piao4
漆,qi1
漉,lu4
漏,lou4
漓,li2
演,yan3
漕,cao2
沤,ou1
沤,ou4
漠,mo4
汉,han4
汉,han4
涟,lian2
漤,lan3
漩,xuan2
漪,yi1
漫,man4
渍,zi4
漭,mang3
漯,ta4
漱,shu4
涨,zhang3
涨,zhang4
漳,zhang1
溆,xu4
漶,huan4
渐,jian1
渐,jian4
漼,cui3
漾,yang4
浆,jiang1
浆,jiang4
颍,ying3
颍,ying3
漱,shu4
泼,po1
洁,jie2
潘,pan1
潜,qian2
潞,lu4
潟,xi4
潢,huang2
润,run4
潦,lao3
潦,liao2
潭,tan2
潭,tan2
潮,chao2
浔,xun2
溃,hui4
溃,kui4
潲,shao4
滗,bi4
潸,shan1
潺,chan2
潼,tong2
潽,pu1
涠,wei2
涩,se4
涩,se4
澄,cheng2
澄,cheng2
澄,cheng2
澄,deng4
浇,jiao1
涝,lao4
澈,che4
澉,gan3
澌,si1
澍,shu4
澎,peng2
涧,jian4
渑,sheng2
澡,zao3
浣,huan4
泽,ze2
澥,xie4
澧,li3
浍,kuai4
淀,dian4
澳,ao4
澳,ao4
澶,chan2
澹,tan2
澹,dan4
激,ji1
浊,zhuo2
濂,lian2
浓,nong2
濉,sui1
濊,hui4
湿,shi1
泞,ning4
蒙,meng2
濞,bi4
济,ji3
济,ji3
济,ji4
濠,hao2
濡,ru2
涛,tao1
滥,lan4
浚,jun4
濮,pu2
濯,zhao4
濯,zhuo2
潍,wei2
滨,bin1
阔,kuo4
溅,jian4
泺,luo4
滤,lv4
滢,ying2
渎,du2
泻,xie4
沈,shen3
沈,shen3
浏,liu2
瀑,bao4
瀑,pu4
濒,bin1
泸,lu2
瀚,han4
瀛,ying2
沥,li4
潇,xiao1
潆,ying2
瀣,xie4
潴,zhu1
泷,shuang1
泷,long2
濑,lai4
弥,mi2
潋,lian4
瀵,fen4
瀹,yue4
澜,lan2
沣,feng1
滠,she4
法,fa3
灌,guan4
洒,sa3
漓,li2
漓,li2
滩,tan1
灏,hao4
灞,ba4
湾,wan1
滦,luan2
赣,gan4
滟,yan4
火,huo3
火,huo3
灬,huo3
灰,hui1
灶,zao4
灸,jiu3
灼,zhuo2
灾,zai1
炅,gui4
炅,jiong3
炆,wen2
炊,chui1
炎,yan2
炏,yan2
炒,chao3
炔,gui4
炔,que1
炕,kang4
炙,zhi4
炤,zhao4
照,zhao4
炫,xuan4
炬,ju4
炭,tan4
炮,bao1
炮,pao2
炮,pao4
炯,jiong3
炱,tai2
炳,bing3
炷,zhu4
炸,zha2
炸,zha4
为,wei2
为,wei4
炻,shi2
烀,hu1
烈,lie4
烊,yang2
乌,wu1
乌,wu1
烕,mie4
灾,zai1
烘,hong1
烙,lao4
烙,luo4
烜,xuan3
烝,zheng1
烤,kao3
烯,xi1
炯,jiong3
烃,ting1
烷,wan2
烹,peng1
烽,feng1
焉,yan1
焊,han4
焌,jun4
焌,qu1
焐,wu4
焓,han2
焗,ju2
焙,bei4
焚,fen2
无,wu2
焢,hong1
焢,kong4
焦,jiao1
焦,jiao1
焯,chao1
焰,yan4
焱,yan4
然,ran2
煅,duan4
煆,xia1
煆,ya1
炼,lian4
煊,xuan1
煌,huang2
煎,jian1
煮,zhu3
炜,wei3
暖,nuan3
暖,nuan3
烟,yan1
煜,yu4
煞,sha1
煞,sha4
茕,qiong2
煤,mei2
焕,huan4
煦,xu4
照,zhao4
煨,wei1
烦,fan2
炀,yang2
煮,zhu3
煲,bao1
煳,hu2
煸,bian1
煺,tui4
煽,shan1
熄,xi1
熙,xi1
熊,xiong2
熊,xiong2
熏,xun1
荧,ying2
熔,rong2
炝,qiang4
熘,liu1
熙,xi1
熜,cong1
熜,zong3
熟,shu2
熠,yi4
熨,yu4
熨,yun4
熬,ao1
熬,ao2
热,re4
熳,man4
熵,shang1
熹,xi1
炽,chi4
烨,ye4
燃,ran2
焰,yan4
灯,deng1
炖,dun4
燎,liao2
燎,liao3
磷,lin2
烧,shao1
燔,fan2
燕,yan1
燕,yan4
烫,tang4
焖,men4
营,ying2
燠,yu4
燥,zao4
灿,can4
燧,sui4
毁,hui3
烛,zhu2
燮,xie4
燮,xie4
烩,hui4
燹,xian3
熏,xun1
烬,jin4
焘,dao4
焘,tao1
爆,bao4
爇,re4
爇,ruo4
爌,huang3
爌,kong4
爌,kuang3
爌,kuang4
烁,shuo4
炉,lu2
燮,xie4
烨,ye4
烂,lan4
爝,jue2
爨,cuan4
爨,cuan4
爪,zhao3
爪,zhua3
爫,zhao3
爬,pa2
争,zheng1
爯,chen4
爯,cheng1
爰,yuan2
爰,yuan2
为,wei2
为,wei4
爵,jue2
父,fu4
爸,ba4
爹,die1
爷,ye2
爻,yao2
爽,shuang3
尔,er3
丬,qiang2
爿,pan2
床,chuang2
墙,qiang2
片,pian1
片,pian4
版,ban3
笺,jian1
牌,pai2
窗,chuang1
闸,zha2
牒,die2
榜,bang3
窗,chuang1
牖,you3
牍,du2
牙,ya2
牚,cheng1
牛,niu2
牛,niu2
牝,pin4
牟,mou2
牟,mu4
牟,mou2
它,ta1
牡,mu3
牢,lao2
牧,mu4
牧,mu4
物,wu4
牮,jian4
牯,gu3
牲,sheng1
牴,di3
牸,zi4
特,te4
牵,qian1
牾,wu3
牿,gu4
犀,xi1
犁,li2
犂,li2
犄,ji1
奔,ben1
奔,ben4
犋,ju4
犍,jian1
犎,feng1
犏,pian1
犒,kao4
荦,luo4
犟,jiang4
犊,du2
牺,xi1
犪,kui2
犬,quan3
犭,quan3
犮,ba2
犮,quan3
犯,fan4
犰,qiu2
犴,an4
状,zhuang4
狁,yun3
狂,kuang2
狃,niu3
狄,di2
狄,di2
狉,pi1
狍,pao2
狎,xia2
狐,hu2
狒,fei4
狗,gou3
狙,ju1
狠,hen3
狡,jiao3
徇,xun4
狨,rong2
狩,shou4
狳,yu2
狴,bi4
狷,juan4
狸,li2
狭,xia2
狺,yin2
狻,suan1
狼,lang2
狈,bei4
猁,li4
悍,han4
猇,xiao1
猊,ni2
猋,biao1
猓,guo3
猖,chang1
猗,yi1
狰,zheng1
猛,meng3
猜,cai1
猝,cu4
猞,she1
猢,hu2
猥,wei3
猿,yuan2
猩,xing1
猱,nao2
猲,he4
猲,xie1
猳,jia1
猴,hou2
猵,bian1
猵,pian4
犹,you2
猷,you2
猸,mei2
猹,cha2
狲,sun1
猾,hua2
猿,yuan2
犸,ma3
狱,yu4
狮,shi1
嗥,hao2
獍,jing4
奖,jiang3
獐,zhang1
獒,ao2
獗,jue2
毙,bi4
獠,liao2
狷,juan4
独,du2
狯,kuai4
猃,xian3
獬,xie4
獯,xun1
狞,ning2
获,huo4
猎,lie4
犷,guang3
兽,shou4
獭,ta3
献,xian4
猕,mi2
獾,huan1
猡,luo2
玃,jue2
玄,xuan2
妙,miao4
率,lv4
率,shuai4
玉,yu4
王,wang2
王,wang2
王,wang4
玎,ding1
玓,di4
玖,jiu3
玗,yu2
玟,min2
玟,wen2
玡,ya2
玢,bin1
玢,fen1
珏,jue2
玩,wan2
玫,mei2
玲,ling2
玳,dai4
玷,dian4
玻,bo1
珀,po4
珂,ke1
珈,jia1
珉,min2
珊,shan1
珍,zhen1
珍,zhen1
珙,gong3
珞,luo4
珠,zhu1
珥,er3
珧,yao2
珩,heng2
班,ban1
班,ban1
佩,pei4
现,xian4
球,qiu2
琅,lang2
理,li3
琉,liu2
琊,ya2
璃,li2
琚,ju1
琛,chen1
琢,zhuo2
琢,zuo2
琥,hu3
琦,qi2
琨,kun1
琪,qi2
琬,wan3
琮,cong2
琮,cong2
琰,yan3
琳,lin2
琴,qin2
琵,pi2
琶,pa2
琴,qin2
珐,fa4
珲,hun2
瑁,mao4
瑄,xuan1
玳,dai4
玮,wei3
瑕,xia2
瑗,yuan4
瑙,nao3
瑚,hu2
瑛,ying1
瑜,yu2
瑞,rui4
瑟,se4
琉,liu2
琐,suo3
瑶,yao2
瑶,yao2
莹,ying2
玛,ma3
瑭,tang2
琅,lang2
琅,lang2
瑰,gui1
瑱,tian4
瑱,zhen4
瑾,jin3
璀,cui3
璁,cong1
璃,li2
璇,xuan2
琏,lian3
璋,zhang1
璐,lu4
璚,jue2
璚,qiong2
璜,huang2
璞,pu2
琉,liu2
玑,ji1
瑷,ai4
璧,bi4
璨,can4
璩,qu2
璩,qu2
环,huan2
环,huan2
璺,wen4
玺,xi3
璇,xuan2
璃,li2
琼,qiong2
瑰,gui1
珑,long2
璎,ying1
瓒,zan4
瓜,gua1
瓞,die2
瓠,hu4
瓢,piao2
瓣,ban4
瓤,rang2
瓦,wa3
瓮,weng4
瓴,ling2
瓶,ping2
瓷,ci2
瓿,bu4
甄,zhen1
甄,zhen1
瓯,ou1
瓯,ou1
甍,meng2
砖,zhuan1
甏,beng4
甑,zeng4
甓,pi4
瓮,weng4
瓮,weng4
罂,ying1
甘,gan1
甘,gan1
甙,dai4
甚,shen2
甚,shen4
甜,tian2
尝,chang2
生,sheng1
产,chan3
産,chan3
甥,sheng1
苏,su1
用,yong4
甩,shuai3
甪,lu4
甫,fu3
甬,yong3
甬,tong3
甬,yong3
甭,beng2
甭,beng4
宁,ning2
田,tian2
田,tian2
由,you2
甲,jia3
申,shen1
申,shen1
甴,zha2
男,nan2
甸,dian4
甸,dian4
甹,ping1
町,ding1
町,ting3
甾,zai1
畀,bi4
亩,mu3
亩,mu3
畈,fan4
耕,geng1
畋,tian2
界,jie4
畎,quan3
畏,wei4
畑,tian2
畔,pan4
留,liu2
畚,ben3
畛,zhen3
畜,chu4
畜,xu4
亩,mu3
畟,ce4
毕,bi4
毕,bi4
略,lve4
畦,qi2
略,lve4
番,pan1
番,fan1
画,hua4
畲,she1
畲,yu2
亩,mu3
异,yi4
留,liu2
当,dang1
当,dang4
畸,ji1
畹,wan3
畺,jiang1
畾,lei2
畿,ji1
疃,tuan3
疆,jiang1
畴,chou2
叠,die2
叠,die2
匹,pi3
疋,shu1
疋,ya3
疏,shu1
疏,shu1
疏,shu1
疐,zhi4
疑,yi2
疒,ne4
疔,ding1
肛,gang1
疙,ge1
疚,jiu4
疝,shan4
疣,you2
疤,ba1
疥,jie4
疫,yi4
疲,pi2
疳,gan1
疵,ci1
疸,da
疸,dan3
疹,zhen3
疼,teng2
疽,ju1
疾,ji2
痱,fei4
痂,jia1
痄,zha4
病,bing4
症,zheng4
痊,quan2
痍,yi2
蛔,hui2
痒,yang3
痔,zhi4
痕,hen2
痘,dou4
痉,jing4
痛,tong4
痞,pi3
痢,li4
痣,zhi4
痤,cuo2
痦,wu4
痧,sha1
痰,tan2
痱,fei4
痲,ma2
痴,chi1
痹,bi4
痼,gu4
疴,ke1
痿,wei3
瘀,yu1
瘁,cui4
痖,ya3
瘃,zhu2
瘊,hou2
疯,feng1
瘌,la4
疡,yang2
瘐,yu3
痪,huan4
瘕,jia3
瘙,sao4
瘛,chi4
瘜,xi1
瘗,yi4
瘟,wen1
瘠,ji2
疮,chuang1
瘢,ban1
瘤,liu2
瘥,chai4
瘥,cuo2
瘦,shou4
疟,nve4
疟,yao4
瘩,da2
瘭,biao1
瘰,luo3
疭,zong4
瘳,chou1
瘴,zhang4
瘵,zhai4
瘸,que2
瘘,lou4
瘼,mo4
癀,huang2
疗,liao2
癃,long2
憔,qiao2
瘤,liu2
痨,lao2
痫,xian2
废,fei4
瘅,dan1
瘅,dan4
癌,ai2
癍,ban1
愈,yu4
癔,yi4
癖,pi3
疠,li4
癜,dian4
瘪,bie3
痴,chi1
痒,yang3
疖,jie1
症,zheng1
疬,li4
癞,lai4
癣,xuan3
瘿,ying3
瘾,yin3
癯,qu2
痈,yong1
瘫,tan1
癫,dian1
癶,bo1
癸,gui3
登,deng1
发,fa1
白,bai2
白,bai2
百,bai3
百,bai3
皂,zao4
皃,mao4
的,de
的,di1
的,di2
的,di4
皆,jie1
皇,huang2
皇,huang2
皈,gui1
皋,gao1
皎,jiao3
皋,gao1
皒,e2
皓,hao4
皕,bi4
皖,wan3
晰,xi1
皑,ai2
皓,hao4
皤,po2
皦,jiao3
皦,jiao3
皮,pi2
皮,pi2
疱,pao4
皴,cun1
鼓,gu3
皲,jun1
皱,zhou4
皻,cu3
皻,zha1
皿,min3
盂,yu2
杯,bei1
盅,zhong1
盆,pen2
盍,he2
盈,ying2
益,yi4
益,yi4
碗,wan3
盍,he2
盎,ang4
盒,he2
盔,kui1
盛,sheng4
盛,cheng2
盛,sheng4
盗,dao4
盏,zhan3
盟,meng2
尽,jin4
监,jian1
监,jian4
盘,pan2
盥,guan4
卢,lu2
卢,lu2
荡,dang4
荡,tang4
目,mu4
盯,ding1
盱,xu1
盱,xu1
盲,mang2
直,zhi2
直,zhi2
相,xiang1
相,xiang1
相,xiang4
盹,dun3
盼,pan4
盾,dun4
省,sheng3
省,xing3
眄,mian3
眄,mian4
眇,miao3
眈,dan1
眉,mei2
看,kan1
看,kan4
県,xian4
视,shi4
眙,yi2
眚,sheng3
真,zhen1
眠,mian2
视,shi4
眢,yuan1
眦,zi4
眦,zi4
眨,zha3
眩,xuan4
眭,sui1
眭,sui1
眯,mi2
眳,ming2
眵,chi1
眶,kuang4
眷,juan4
眸,mou2
眺,tiao4
眼,yan3
眽,mo4
众,zhong4
众,zhong4
睃,suo1
睇,di4
困,kun4
睘,qiong2
睚,ya2
睛,jing1
睁,zheng1
睐,lai4
眷,juan4
睡,shui4
睢,sui1
睢,sui1
督,du1
睥,pi4
睦,mu4
睨,ni4
睪,yi4
睫,jie2
睬,cai3
睹,du3
睽,kui2
睾,gao1
睿,rui4
瞀,mao4
瞄,miao2
瞅,chou3
眯,mi1
瞈,weng3
瞋,chen1
瞌,ke1
瞍,sou3
瞎,xia1
瞑,ming2
瞓,fen4
翳,yi4
眍,kou1
瞒,man2
瞟,piao3
瞠,cheng1
瞢,meng2
瞥,pie1
瞧,qiao2
瞪,deng4
瞬,shun4
了,liao3
了,liao4
瞭,liao4
瞰,kan4
瞳,tong2
瞵,lin2
瞻,zhan1
睑,jian3
瞽,gu3
瞿,qu2
瞿,qu2
瞅,chou3
蒙,meng1
蒙,meng2
矍,jue2
矍,jue2
眬,long2
矗,chu4
瞰,kan4
瞩,zhu3
矛,mao2
矜,jin1
矞,yu4
矢,shi3
矣,yi3
知,zhi1
矦,hou2
矧,shen3
矩,ju3
矬,cuo2
短,duan3
矮,ai3
矫,jiao3
矫,jiao2
矫,jiao3
石,shi2
石,dan4
石,shi2
碇,ding4
矸,gan1
矻,ku1
矽,xi1
砂,sha1
砉,hua1
砉,xu1
砌,qi4
砌,qie4
砍,kan3
砑,ya4
砒,pi1
研,yan2
砘,dun4
砝,fa3
砟,zha3
砣,tuo2
砥,di3
寨,zhai4
砧,zhen1
砩,fei4
砩,fu2
砬,la2
砭,bian1
砰,peng1
炮,pao4
破,po4
砷,shen1
砸,za2
砹,ai4
砼,tong2
朱,zhu1
硅,gui1
硇,nao2
硌,ge4
硎,xing2
硐,dong4
硐,tong2
硒,xi1
硝,xiao1
硖,xia2
砗,che1
硪,wo4
硫,liu2
硬,ying4
硭,mang2
确,que4
砚,yan4
硼,peng2
棋,qi2
碇,ding4
碉,diao1
碌,liu4
碌,lu4
碎,sui4
碑,bei1
碓,dui4
碗,wan3
碘,dian3
碚,bei4
碟,die2
碡,zhou2
碣,jie2
碥,bian3
碧,bi4
硕,shuo4
砧,zhen1
砀,dang4
碰,peng4
碲,di4
碳,tan4
碴,cha2
砜,feng1
确,que4
码,ma3
碾,nian3
磁,ci2
磅,bang4
磅,pang2
磉,sang3
磊,lei3
磋,cuo1
磐,pan2
硙,ai2
硙,wei2
硙,wei4
磔,zhe2
磕,ke1
磕,ke4
磙,gun3
砖,zhuan1
碌,liu4
碜,chen3
碛,qi4
磨,mo2
磨,mo4
磬,qing4
矶,ji1
磲,qu2
磴,deng4
磷,lin2
磺,huang2
硗,qiao1
礁,jiao1
礅,dun1
硷,jian3
础,chu3
礓,jiang1
碍,ai4
礞,meng2
礴,bo2
礤,ca3
矿,kuang4
砺,li4
砾,li4
矾,fan2
砻,long2
示,shi4
社,she4
祀,si4
祁,qi2
祁,qi2
祆,xian1
只,zhi3
祇,qi2
祈,qi2
祉,zhi3
祓,fu2
秘,mi4
祖,zu3
祖,zu3
祗,zhi1
祘,suan4
祚,zuo4
祛,qu1
祜,hu4
祝,zhu4
祝,zhu4
神,shen2
神,shen2
祟,sui4
祠,ci2
祢,ni3
祥,xiang2
祧,tiao1
票,piao4
祭,zhai4
祭,ji4
祺,qi2
禄,lu4
禁,jin1
禁,jin4
禊,xi4
祸,huo4
祯,zhen1
福,fu2
福,fu2
祎,yi1
禚,zhuo2
禛,zhen1
御,yu4
禧,xi3
祀,si4
禅,chan2
禅,shan4
礼,li3
礼,li3
祢,mi2
祢,mi2
祷,dao3
禳,rang2
禸,rou2
禹,yu3
禺,ou3
禺,yu2
离,chi1
禽,qin2
禾,he2
秃,tu1
秀,xiu4
私,si1
秉,bing3
秉,bing3
年,nian2
秋,qiu1
秋,qiu1
秋,qiu1
科,ke1
秒,miao3
粳,jing1
秕,bi3
只,zhi1
秘,bi4
秘,mi4
租,zu1
秣,mo4
秤,cheng1
秤,cheng4
秦,qin2
秧,yang1
秩,zhi4
秫,shu2
秭,zi3
秸,jie1
移,yi2
稀,xi1
稂,lang2
稃,fu1
税,shui4
稆,lv3
秆,gan3
粳,jing1
程,cheng2
程,cheng2
稍,shao1
稍,shao4
稔,ren3
稗,bai4
稙,zhi2
稚,zhi4
棱,leng2
棱,ling2
稞,ke1
禀,bing3
稠,chou2
稨,bian3
糯,nuo4
秸,jie1
种,zhong3
种,zhong4
称,chen4
称,cheng1
称,cheng4
稷,ji4
稹,zhen3
稚,zhi4
稻,dao4
稼,jia4
稽,ji1
稽,ji1
稽,qi3
稿,gao3
稿,gao3
谷,gu3
糠,kang1
穆,mu4
穆,mu4
稚,zhi4
稣,su1
积,ji1
颖,ying3
穗,sui4
穗,sui4
穑,se4
秽,hui4
糯,nuo4
颓,tui2
稳,wen3
获,huo4
穰,rang2
穰,rang2
穴,xue2
穵,wa1
究,jiu1
穸,xi1
穹,qiong2
空,kong1
空,kong4
阱,jing3
穿,chuan1
窀,zhun1
突,tu1
窄,zhai3
窅,yao3
窆,bian3
窈,yao3
窒,zhi4
窗,chuang1
窕,tiao3
窖,jiao4
窗,chuang1
窘,jiong3
窟,ku1
窠,ke1
窣,su1
窨,xun1
窨,yin4
窝,wo1
洼,wa1
窬,yu2
穷,qiong2
窑,yao2
窑,yao2
窳,yu3
窭,ju4
窸,xi1
窥,kui1
窗,chuang1
窾,cuan4
窾,kuan3
窿,long2
窜,cuan4
窍,qiao4
窦,dou4
窦,dou4
灶,zao4
窃,qie4
立,li4
立,li4
站,zhan4
伫,zhu4
并,bing4
竟,jing4
章,zhang1
章,zhang1
俟,si4
竣,jun4
童,tong2
童,tong2
竦,song3
竖,shu4
竭,jie2
端,duan1
竞,jing4
竹,zhu2
竺,zhu2
竺,du3
竽,yu2
竿,gan1
笄,ji1
笆,ba1
笈,ji2
笊,zhao4
笏,hu4
笑,xiao4
笙,sheng1
笛,di2
笞,chi1
笠,li4
笤,tiao2
笥,si4
符,fu2
符,fu2
笨,ben4
笪,da2
笪,da2
笫,zi3
第,di4
笮,ze2
笱,gou3
笳,jia1
笸,po3
筀,gui4
筅,xian3
笔,bi3
筇,qiong2
等,deng3
筊,jiao3
筊,jiao4
筋,jin1
筌,quan2
笋,sun3
筏,fa2
筐,kuang1
筑,zhu4
筑,zhu4
筒,tong3
答,da1
答,da2
筕,hang2
策,ce4
策,ce4
筘,kou4
策,ce4
筠,yun2
筢,pa2
筦,guan3
管,guan3
笕,jian3
筒,tong3
筮,shi4
箸,zhu4
筱,xiao3
筲,shao1
策,ce4
筵,yan2
筷,kuai4
箅,bi4
个,ge4
笺,jian1
箍,gu1
筝,zheng1
箐,qing4
帚,zhou3
箔,bo2
箕,ji1
算,suan4
箜,kong1
箝,qian2
棰,chui2
管,guan3
管,guan3
箢,yuan1
箬,ruo4
箭,jian4
箱,xiang1
箴,zhen1
箸,zhu4
节,jie1
节,jie2
篁,huang2
范,fan4
篆,zhuan4
篇,pian1
筑,zhu4
箧,qie4
篌,hou2
筼,yun2
篙,gao1
篚,fei3
篝,gou1
篡,cuan4
笃,du3
篥,li4
篦,bi4
筛,shai1
篪,chi2
筚,bi4
篷,peng2
篹,suan3
篹,zhuan4
纂,zuan3
篼,dou1
篾,mie4
箦,ze2
簇,cu4
簉,zao4
簋,gui3
簌,su4
篓,lou3
簏,lu4
蓑,suo1
篡,cuan4
箪,dan1
簟,dian4
简,jian3
篑,kui4
簦,deng1
簧,huang2
簪,zan1
箫,xiao1
簪,zan1
檐,yan2
簸,bo3
簸,bo4
筜,dang1
签,qian1
帘,lian2
簿,bu4
籀,zhou4
籀,zhou4
篮,lan2
筹,chou2
籍,ji2
籍,ji2
藤,teng2
籑,zhuan4
馔,zhuan4
签,qian1
箓,lu4
箨,tuo4
籁,lai4
笼,long2
笼,long3
奁,lian2
签,qian1
笾,bian1
簖,duan4
篱,li2
箩,luo2
吁,yu4
米,mi3
米,mi3
籼,xian1
籽,zi3
秕,bi3
糠,kang1
粉,fen3
粑,ba1
粒,li4
粕,po4
粗,cu1
粘,nian2
粘,zhan1
粞,xi1
粟,su4
粟,su4
粢,zi1
粥,yu4
粥,zhou1
磷,lin2
妆,zhuang1
粱,liang2
粲,can4
粳,jing1
粤,yue4
