id,name,latin,tone
762,hǒng,hong,3
763,hòng,hong,4
764,hóu,hou,2
765,hǒu,hou,3
766,hòu,hou,4
767,hū,hu,1
768,hú,hu,2
769,hǔ,hu,3
770,hù,hu,4
771,huā,hua,1
772,huá,hua,2
773,huà,hua,4
774,huái,huai,2
775,huài,huai,4
776,huān,huan,1
777,huán,huan,2
778,huǎn,huan,3
779,huàn,huan,4
780,huāng,huang,1
781,huáng,huang,2
782,huǎng,huang,3
783,huàng,huang,4
784,huī,hui,1
785,huí,hui,2
786,huǐ,hui,3
787,huì,hui,4
788,hūn,hun,1
789,hún,hun,2
790,hùn,hun,4
791,huō,huo,1
792,huó,huo,2
793,huǒ,huo,3
794,huò,huo,4
795,jī,ji,1
796,jí,ji,2
797,jǐ,ji,3
798,jì,ji,4
799,jiā,jia,1
800,jiá,jia,2
801,jiǎ,jia,3
802,jià,jia,4
803,jiān,jian,1
804,jiǎn,jian,3
805,jiàn,jian,4
806,jiāng,jiang,1
807,jiǎng,jiang,3
808,jiàng,jiang,4
809,jiāo,jiao,1
810,jiáo,jiao,2
811,jiǎo,jiao,3
812,jiào,jiao,4
813,jiē,jie,1
814,jié,jie,2
815,jiě,jie,3
816,jiè,jie,4
817,jie,jie,
818,jīn,jin,1
819,jǐn,jin,3
820,jìn,jin,4
821,jīng,jing,1
822,jǐng,jing,3
823,jìng,jing,4
824,jiōng,jiong,1
825,jiǒng,jiong,3
826,jiū,jiu,1
827,jiǔ,jiu,3
828,jiù,jiu,4
829,juē,jue,1
830,jué,jue,2
831,juě,jue,3
832,juè,jue,4
833,jū,ju,1
834,jú,ju,2
835,jǔ,ju,3
836,jù,ju,4
837,juān,juan,1
838,juǎn,juan,3
839,juàn,juan,4
840,jūn,jun,1
841,jùn,jun,4
842,qī,qi,1
843,qí,qi,2
844,qǐ,qi,3
845,qì,qi,4
846,qiā,qia,1
847,qiǎ,qia,3
848,qià,qia,4
849,qiān,qian,1
850,qián,qian,2
851,qiǎn,qian,3
852,qiàn,qian,4
853,qiāng,qiang,1
854,qiáng,qiang,2
855,qiǎng,qiang,3
856,qiàng,qiang,4
857,qiāo,qiao,1
858,qiáo,qiao,2
859,qiǎo,qiao,3
860,qiào,qiao,4
861,qiē,qie,1
862,qié,qie,2
863,qiě,qie,3
864,qiè,qie,4
865,qīn,qin,1
866,qín,qin,2
867,qǐn,qin,3
868,qìn,qin,4
869,qīng,qing,1
870,qíng,qing,2
871,qǐng,qing,3
872,qìng,qing,4
873,qiōng,qiong,1
874,qióng,qiong,2
875,qiū,qiu,1
876,qiú,qiu,2
877,qiǔ,qiu,3
878,quē,que,1
879,qué,que,2
880,què,que,4
881,qū,qu,1
882,qú,qu,2
883,qǔ,qu,3
884,qù,qu,4
885,qu,qu,
886,quān,quan,1
887,quán,quan,2
888,quǎn,quan,3
889,quàn,quan,4
890,qūn,qun,1
891,qún,qun,2
892,xī,xi,1
893,xí,xi,2
894,xǐ,xi,3
895,xì,xi,4
896,xiā,xia,1
897,xiá,xia,2
898,xià,xia,4
899,xiān,xian,1
900,xián,xian,2
901,xiǎn,xian,3
902,xiàn,xian,4
903,xiāng,xiang,1
904,xiáng,xiang,2
905,xiǎng,xiang,3
906,xiàng,xiang,4
907,xiāo,xiao,1
908,xiáo,xiao,2
909,xiǎo,xiao,3
910,xiào,xiao,4
911,xiē,xie,1
912,xié,xie,2
913,xiě,xie,3
914,xiè,xie,4
915,xīn,xin,1
916,xín,xin,2
