id,form,meaning,type,etymology
9741,粗,"remote; distant; variant of 粗[cu1]",pictophonetic,"grain"
9742,麦,"surname Mai",ideographic,"Simplified form of 麦; grains 來 ready to be harvested 夂"
9743,麦,"wheat; barley; oats; mic (abbr. for 麥克風|麦克风[mai4ke4feng1])",ideographic,"Simplified form of 麦; grains 來 ready to be harvested 夂"
9744,麸,"bran",pictophonetic,"wheat"
9745,面,"variant of 麵|面[mian4]",pictographic,"A person's face"
9746,曲,"variant of 麴|曲[qu1]",pictographic,"A folded object 曰"
9747,麯,"surname Qu",pictophonetic,"wheat"
9748,曲,"yeast; Aspergillus (includes many common molds); Taiwan pr. [qu2]",pictographic,"A folded object 曰"
9749,麴,"surname Qu",pictophonetic,"wheat"
9750,面,"flour; noodles; (of food) soft (not crunchy); (slang) (of a person) ineffectual; spineless",pictographic,"A person's face"
9751,麻,"surname Ma",ideographic,"Hemp plants 林 growing in a greenhouse 广"
9752,麻,"generic name for hemp, flax etc; hemp or flax fiber for textile materials; sesame; CL:縷|缕[lu:3]; (of materials) rough or coarse; pocked; pitted; to have pins and needles or tingling; to feel numb",ideographic,"Hemp plants 林 growing in a greenhouse 广"
9753,么,"exclamatory final particle",,
9754,么,"interrogative final particle",,
9755,么,"suffix, used to form interrogative 什麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc",,
9756,麽,"tiny; insignificant",pictophonetic,
9757,么,"variant of 麼|么[me5]",,
9758,麾,"signal flag; to signal",,
9759,麿,"(Japanese kokuji) I, me (archaic); suffix attached to the name of a person or pet; pr. maro",,
9760,黄,"surname Huang or Hwang",pictographic,"A jade pendant"
9761,黄,"yellow; pornographic; to fall through",pictographic,"A jade pendant"
9762,黉,"school",,
9763,黍,"broomcorn millet; glutinous millet",ideographic,"Grain 禾 that can be fermented to make wine 氺"
9764,黎,"Li ethnic group of Hainan Province; surname Li; abbr. for Lebanon 黎巴嫩[Li2ba1nen4]",,
9765,黎,"(literary) black; dark; many; multitude",,
9766,黏,"sticky; glutinous; (Tw) to adhere; to stick on; to glue",pictophonetic,"millet"
9767,黑,"abbr. for Heilongjiang province 黑龍江|黑龙江[Hei1 long2 jiang1]",ideographic,"A man's face blacked by soot from a fire 灬"
