sound,latin,tone
qiú,qiu,2
qiǔ,qiu,3
qiu,qiu,
quē,que,1
qué,que,2
què,que,4
qū,qu,1
qú,qu,2
qǔ,qu,3
qù,qu,4
qu,qu,
quān,quan,1
quán,quan,2
quǎn,quan,3
quàn,quan,4
quan,quan,
qūn,qun,1
qún,qun,2
xī,xi,1
xí,xi,2
xǐ,xi,3
xì,xi,4
xi,xi,
xiā,xia,1
xiá,xia,2
xià,xia,4
xia,xia,
xiān,xian,1
xián,xian,2
xiǎn,xian,3
xiàn,xian,4
xian,xian,
xiāng,xiang,1
xiáng,xiang,2
xiǎng,xiang,3
xiàng,xiang,4
xiang,xiang,
xiāo,xiao,1
xiáo,xiao,2
xiǎo,xiao,3
xiào,xiao,4
xiē,xie,1
xié,xie,2
xiě,xie,3
xiè,xie,4
xie,xie,
xīn,xin,1
xín,xin,2
xǐn,xin,3
xìn,xin,4
xin,xin,
xīng,xing,1
xíng,xing,2
xǐng,xing,3
xìng,xing,4
xing,xing,
xiōng,xiong,1
xióng,xiong,2
xiòng,xiong,4
xiong,xiong,
xiū,xiu,1
xiǔ,xiu,3
xiù,xiu,4
xuē,xue,1
xué,xue,2
xuě,xue,3
xuè,xue,4
xū,xu,1
xú,xu,2
xǔ,xu,3
xù,xu,4
xu,xu,
xuān,xuan,1
xuán,xuan,2
xuǎn,xuan,3
xuàn,xuan,4
xūn,xun,1
xún,xun,2
xùn,xun,4
xun,xun,
zhā,zha,1
zhá,zha,2
zhǎ,zha,3
zhà,zha,4
zha,zha,
zhāi,zhai,1
zhái,zhai,2
zhǎi,zhai,3
zhài,zhai,4
zhān,zhan,1
zhǎn,zhan,3
zhàn,zhan,4
zhan,zhan,
zhāng,zhang,1
zhǎng,zhang,3
zhàng,zhang,4
zhang,zhang,
zhāo,zhao,1
zháo,zhao,2
zhǎo,zhao,3
zhào,zhao,4
zhē,zhe,1
zhé,zhe,2
zhě,zhe,3
zhè,zhe,4
zhe,zhe,
zhēn,zhen,1
zhěn,zhen,3
zhèn,zhen,4
zhēng,zheng,1
zhěng,zheng,3
zhèng,zheng,4
zheng,zheng,
zhī,zhi,1
zhí,zhi,2
zhǐ,zhi,3
zhì,zhi,4
zhi,zhi,
zhōng,zhong,1
zhǒng,zhong,3
zhòng,zhong,4
zhong,zhong,
zhōu,zhou,1
zhóu,zhou,2
zhǒu,zhou,3
zhòu,zhou,4
zhou,zhou,
zhū,zhu,1
zhú,zhu,2
zhǔ,zhu,3
zhù,zhu,4
zhu,zhu,
zhuā,zhua,1
zhuǎ,zhua,3
zhuāi,zhuai,1
zhuǎi,zhuai,3
zhuài,zhuai,4
zhuān,zhuan,1
zhuǎn,zhuan,3
zhuàn,zhuan,4
zhuan,zhuan,
zhuāng,zhuang,1
zhuǎng,zhuang,3
zhuàng,zhuang,4
zhuang,zhuang,
zhuī,zhui,1
zhuì,zhui,4
zhūn,zhun,1
zhǔn,zhun,3
zhuō,zhuo,1
zhuó,zhuo,2
chā,cha,1
chá,cha,2
chǎ,cha,3
chà,cha,4
cha,cha,
chāi,chai,1
chái,chai,2
chǎi,chai,3
chài,chai,4
chai,chai,
chān,chan,1
chán,chan,2
chǎn,chan,3
chàn,chan,4
chan,chan,
chāng,chang,1
cháng,chang,2
chǎng,chang,3
chàng,chang,4
chang,chang,
chāo,chao,1
cháo,chao,2
chǎo,chao,3
chào,chao,4
chao,chao,
chē,che,1
chě,che,3
chè,che,4
che,che,
chēn,chen,1
chén,chen,2
chěn,chen,3
chèn,chen,4
chen,chen,
chēng,cheng,1
chéng,cheng,2
chěng,cheng,3
chèng,cheng,4
cheng,cheng,
chī,chi,1
chí,chi,2
chǐ,chi,3
chì,chi,4
chi,chi,
chōng,chong,1
chóng,chong,2
chǒng,chong,3
chòng,chong,4
chong,chong,
chōu,chou,1
chóu,chou,2
chǒu,chou,3
chòu,chou,4
chou,chou,
chū,chu,1
chú,chu,2
chǔ,chu,3
chù,chu,4
chu,chu,
chuā,chua,1
chuāi,chuai,1
chuái,chuai,2
chuǎi,chuai,3
chuài,chuai,4
chuān,chuan,1
chuán,chuan,2
chuǎn,chuan,3
chuàn,chuan,4
chuāng,chuang,1
chuáng,chuang,2
chuǎng,chuang,3
chuàng,chuang,4
chuī,chui,1
chuí,chui,2
chuì,chui,4
chūn,chun,1
chún,chun,2
chǔn,chun,3
chuō,chuo,1
chuò,chuo,4
shā,sha,1
shá,sha,2
shǎ,sha,3
shà,sha,4
shāi,shai,1
shǎi,shai,3
shài,shai,4
shān,shan,1
shǎn,shan,3
shàn,shan,4
shan,shan,
shāng,shang,1
shǎng,shang,3
shàng,shang,4
shang,shang,
shāo,shao,1
sháo,shao,2
shǎo,shao,3
shào,shao,4
shao,shao,
shē,she,1
shé,she,2
shě,she,3
shè,she,4
she,she,
shéi,shei,2
shēn,shen,1
shén,shen,2
shěn,shen,3
shèn,shen,4
shen,shen,
shēng,sheng,1
shéng,sheng,2
shěng,sheng,3
shèng,sheng,4
sheng,sheng,
shī,shi,1
shí,shi,2
shǐ,shi,3
shì,shi,4
shi,shi,
shōu,shou,1
shóu,shou,2
shǒu,shou,3
shòu,shou,4
shou,shou,
shū,shu,1
shú,shu,2
shǔ,shu,3
shù,shu,4
shu,shu,
shuā,shua,1
shuǎ,shua,3
shuà,shua,4
shuāi,shuai,1
shuǎi,shuai,3
shuài,shuai,4
shuān,shuan,1
shuàn,shuan,4
shuāng,shuang,1
shuǎng,shuang,3
shuí,shui,2
shuǐ,shui,3
